text,category
Ambulance helpline not responding.,Health and Family Welfare Department
Ambulance not arriving on time.,Health and Family Welfare Department
Ambulance service delayed during emergency.,Health and Family Welfare Department
Area cleanliness is very poor.,Municipal Sanitation Department
Area is unhygienic due to improper cleaning.,Municipal Sanitation Department
Area not cleaned despite repeated complaints.,Municipal Sanitation Department
Assault complaint requiring immediate police action.,Police Department
Assault incident reported near market area.,Police Department
Broken electric wire hanging on the road.,Electricity Distribution Department
Broken garbage bin near residential area.,Solid Waste Management Department
Broken road after recent rain creating waterlogging.,Public Works Department
Broken road near school causing safety issues.,Public Works Department
Broken sewer pipeline needs immediate repair.,Drainage and Sewerage Department
Broken street light causing inconvenience to residents.,Street Lighting Department
Broken street light wire hanging dangerously.,Street Lighting Department
Burglary attempt noticed in nearby house.,Police Department
Burning smell coming from an electrical panel.,Fire and Emergency Services
Burning smell coming from electric box.,Electricity Distribution Department
Burning wires causing sparks and smoke.,Fire and Emergency Services
Chain snatching attempt reported by resident.,Police Department
Chain snatching reported on the main road.,Police Department
Collection staff not following waste segregation rules.,Solid Waste Management Department
Collection staff refuses to pick mixed waste.,Solid Waste Management Department
Construction barriers left on the road.,Public Works Department
Contaminated water causing health issues.,Water Supply Department
Continuous traffic congestion due to road damage.,Public Works Department
Continuous water leakage from the main pipeline.,Water Supply Department
Continuous water wastage due to broken pipe.,Water Supply Department
Damaged culvert causing road collapse.,Public Works Department
Damaged footpath making it difficult for pedestrians.,Public Works Department
Deep cracks have developed on the main road.,Public Works Department
Delay in ambulance arrival during night hours.,Health and Family Welfare Department
Delay in emergency medical attention.,Health and Family Welfare Department
Delay in issuing medical reports.,Health and Family Welfare Department
Delay in medical treatment at government hospital.,Health and Family Welfare Department
Delay in vaccination services for children.,Health and Family Welfare Department
Dim street light reducing visibility at night.,Street Lighting Department
Dirty public place not cleaned for long time.,Municipal Sanitation Department
Dirty road conditions due to garbage.,Municipal Sanitation Department
Dirty surroundings due to lack of cleaning.,Municipal Sanitation Department
Dirty water coming out from the drainage.,Drainage and Sewerage Department
Dirty water is coming from the tap.,Water Supply Department
Disturbance reported near public event.,Police Department
Doctor not attending patients on time.,Health and Family Welfare Department
Domestic violence complaint needs police attention.,Police Department
Drain cover missing on the road,Public Works Department
Drainage blockage causing mosquito breeding.,Drainage and Sewerage Department
Drainage blockage creating foul smell.,Drainage and Sewerage Department
Drainage blockage leading to waterlogging.,Drainage and Sewerage Department
Drainage cleaning not done before monsoon.,Drainage and Sewerage Department
Drainage cleaning work not done properly.,Drainage and Sewerage Department
Drainage line choked due to waste.,Drainage and Sewerage Department
Drainage line collapsed near main road.,Drainage and Sewerage Department
Drainage overflow affecting nearby shops.,Drainage and Sewerage Department
Drainage overflow causing road damage.,Drainage and Sewerage Department
Drainage overflow near school area.,Drainage and Sewerage Department
Drainage system not cleaned for a long time.,Drainage and Sewerage Department
Drainage water entering residential houses.,Drainage and Sewerage Department
Drainage water flowing into footpath.,Drainage and Sewerage Department
Drainage water flowing into open plots.,Drainage and Sewerage Department
Drainage water is overflowing on the road.,Drainage and Sewerage Department
Drainage water overflowing during peak hours.,Drainage and Sewerage Department
Drainage water stagnant near bus stop.,Drainage and Sewerage Department
Drainage water stagnating for days.,Drainage and Sewerage Department
Drinking water not available in government quarters.,Water Supply Department
Drinking water pipe is broken and water is flowing on the road.,Water Supply Department
Drinking water shortage in our society.,Water Supply Department
Drug-related activity suspected in locality.,Police Department
Drunk people creating nuisance on the street.,Police Department
Electric cable snapped after strong winds.,Electricity Distribution Department
Electric connection exposed and unsafe.,Electricity Distribution Department
Electric junction box open and dangerous.,Electricity Distribution Department
Electric meter is damaged and not working.,Electricity Distribution Department
Electric pole base is damaged.,Electricity Distribution Department
Electric pole leaning and may fall anytime.,Electricity Distribution Department
Electric pole light short circuit reported.,Electricity Distribution Department
Electric pole sparks during rain.,Electricity Distribution Department
Electric wire fallen on the footpath.,Electricity Distribution Department
Electrical fire reported in residential building.,Fire and Emergency Services
Electricity connection loose causing sparks.,Electricity Distribution Department
Electricity outage affecting hospital nearby.,Electricity Distribution Department
Electricity supply interrupted without any notice.,Electricity Distribution Department
Electricity supply restored briefly then goes off again.,Electricity Distribution Department
Emergency evacuation needed due to fire risk.,Fire and Emergency Services
Emergency fire assistance required immediately.,Fire and Emergency Services
Emergency fire assistance required immediately.,Fire and Emergency Services
Emergency fire control needed immediately.,Fire and Emergency Services
Emergency fire service required at construction site.,Fire and Emergency Services
Emergency power failure needs immediate attention.,Electricity Distribution Department
Emergency rescue needed due to fire accident.,Fire and Emergency Services
Emergency services not responding properly at hospital.,Health and Family Welfare Department
Emergency water leakage needs immediate repair.,Water Supply Department
Entire street remains dark after sunset.,Street Lighting Department
Eve teasing incident reported near college area.,Police Department
Fire alarm ringing continuously in the apartment.,Fire and Emergency Services
Fire broke out due to short circuit in office building.,Fire and Emergency Services
Fire broke out due to short circuit in office building.,Fire and Emergency Services
Fire broke out in a factory unit.,Fire and Emergency Services
Fire broke out in a nearby building and needs immediate help.,Fire and Emergency Services
Fire caused by overheating electrical equipment.,Fire and Emergency Services
Fire caused due to fireworks explosion.,Fire and Emergency Services
Fire emergency reported in hospital premises.,Fire and Emergency Services
Fire hydrant not working during emergency.,Fire and Emergency Services
Fire incident reported in a warehouse nearby.,Fire and Emergency Services
Fire incident reported in government building.,Fire and Emergency Services
Fire incident reported in parked vehicle.,Fire and Emergency Services
Fire incident reported in school building.,Fire and Emergency Services
Fire outbreak reported near fuel storage area.,Fire and Emergency Services
Fire reported in electrical substation.,Fire and Emergency Services
Fire reported in transformer area.,Fire and Emergency Services
Fire spotted in garbage dump near houses.,Fire and Emergency Services
Fire spotted in garbage dump near houses.,Fire and Emergency Services
Fire spread noticed in nearby commercial complex.,Fire and Emergency Services
Flickering street light causing inconvenience.,Street Lighting Department
Footpath tiles are broken and dangerous.,Public Works Department
Fraud attempt reported by unknown caller.,Police Department
Free medicines promised but not provided.,Health and Family Welfare Department
Frequent power outages every day in our locality.,Electricity Distribution Department
Frequent tripping of main power line.,Electricity Distribution Department
Garbage accumulated near roadside stalls.,Solid Waste Management Department
Garbage bin overflowing and spreading waste.,Solid Waste Management Department
Garbage bins are damaged and unusable.,Solid Waste Management Department
Garbage bins are overflowing frequently.,Municipal Sanitation Department
Garbage bins emitting foul smell.,Solid Waste Management Department
Garbage bins overflowing daily.,Solid Waste Management Department
Garbage bins placed in unsafe locations.,Solid Waste Management Department
Garbage causing inconvenience to residents.,Municipal Sanitation Department
Garbage collection stopped without notice.,Municipal Sanitation Department
Garbage collection vehicle is not coming regularly.,Solid Waste Management Department
Garbage disposal not done properly.,Solid Waste Management Department
Garbage dumping creating health hazards.,Solid Waste Management Department
Garbage dumping near playground.,Solid Waste Management Department
Garbage dumping near school area.,Municipal Sanitation Department
Garbage is not being cleaned regularly in our area.,Municipal Sanitation Department
Garbage lying near drainage causing blockage.,Municipal Sanitation Department
Garbage not cleared near market area.,Municipal Sanitation Department
Garbage not collected from commercial area.,Solid Waste Management Department
Garbage not picked up on scheduled days.,Municipal Sanitation Department
Garbage pile lying unattended near houses.,Municipal Sanitation Department
Garbage piled up for several days.,Municipal Sanitation Department
Garbage scattered on the road attracting animals.,Municipal Sanitation Department
Garbage truck does not follow fixed schedule.,Solid Waste Management Department
Garbage truck skips our street frequently.,Solid Waste Management Department
Garbage vehicle arrives very late every day.,Solid Waste Management Department
Garbage waste spread after rain.,Municipal Sanitation Department
Gas cylinder leakage reported in a residential house.,Fire and Emergency Services
Gas leakage detected in residential society.,Fire and Emergency Services
Gas leakage reported in restaurant kitchen.,Fire and Emergency Services
Gas pipeline leakage suspected in the area.,Fire and Emergency Services
Gas stove explosion reported in kitchen.,Fire and Emergency Services
Government dispensary closed unexpectedly.,Health and Family Welfare Department
Government hospital lacks basic facilities.,Health and Family Welfare Department
Government hospital staff is not available during duty hours.,Health and Family Welfare Department
Government hospital toilets are unhygienic.,Health and Family Welfare Department
Harassment complaint needs police action.,Police Department
Health center staff absent without notice.,Health and Family Welfare Department
Health services disrupted due to staff shortage.,Health and Family Welfare Department
Health services unavailable in rural area.,Health and Family Welfare Department
Heavy dust due to poor road condition.,Public Works Department
Heavy water leakage near the school road.,Water Supply Department
High voltage causing bulb and fan damage.,Electricity Distribution Department
Hospital cleanliness is very poor.,Health and Family Welfare Department
Hospital complaint not resolved for many days.,Health and Family Welfare Department
Hospital equipment not working properly.,Health and Family Welfare Department
Hospital staff behavior is rude and unprofessional.,Health and Family Welfare Department
Hospital staff not following hygiene protocols.,Health and Family Welfare Department
Household waste not collected for the last three days.,Solid Waste Management Department
Illegal gambling activity reported in the area.,Police Department
Illegal parking blocking the road.,Police Department
Illegal street racing reported at night.,Police Department
Immediate drainage cleaning required in our area.,Drainage and Sewerage Department
Immediate fire and rescue assistance required.,Fire and Emergency Services
Immediate medical assistance required at health center.,Health and Family Welfare Department
Immediate police assistance required in our area.,Police Department
Immediate sanitation cleaning required in our street.,Municipal Sanitation Department
Immediate solid waste removal required.,Solid Waste Management Department
Immediate street light repair required.,Street Lighting Department
Incomplete road patchwork creating bumps.,Public Works Department
Intimidation complaint against known individual.,Police Department
Lack of beds in government hospital.,Health and Family Welfare Department
Lack of doctors in the primary health center.,Health and Family Welfare Department
Lack of regular sanitation services.,Municipal Sanitation Department
Large potholes on the main road causing traffic jams.,Public Works Department
Leakage from overhead water tank.,Water Supply Department
Long waiting time at the government hospital.,Health and Family Welfare Department
Low voltage problem affecting water pumps.,Electricity Distribution Department
LPG gas leakage creating danger in the house.,Fire and Emergency Services
Main road is slippery due to damaged surface.,Public Works Department
Medical waste not disposed properly.,Health and Family Welfare Department
Medicines not available at government dispensary.,Health and Family Welfare Department
Missing person complaint needs registration.,Police Department
Mobile phone was stolen near the bus stop.,Police Department
Multiple street lights not working in the locality.,Street Lighting Department
Newly constructed road damaged within a month.,Public Works Department
No clean drinking water for senior citizens nearby.,Water Supply Department
No doctor available in emergency ward.,Health and Family Welfare Department
No drinking water available in our residential area.,Water Supply Department
No electricity in government quarters.,Electricity Distribution Department
No electricity supply for more than 6 hours.,Electricity Distribution Department
No garbage bins provided in our locality.,Solid Waste Management Department
No power supply after maintenance work.,Electricity Distribution Department
No specialist doctor available at hospital.,Health and Family Welfare Department
No street cleaning done since last week.,Municipal Sanitation Department
No street lighting near residential lane.,Street Lighting Department
No street lighting on the main road at night.,Street Lighting Department
No water supply in our area for the last two days.,Water Supply Department
No water supply in the building since last night.,Water Supply Department
Noise disturbance due to loud music late night.,Police Department
Noise pollution complaint during late hours.,Police Department
Non-functional street light causing accidents.,Street Lighting Department
Open drainage creating health hazards.,Drainage and Sewerage Department
Open garbage dumping creating health issues.,Municipal Sanitation Department
Open manhole on the road creating danger,Public Works Department
Open sewer causing inconvenience to pedestrians.,Drainage and Sewerage Department
Open waste dumping near residential buildings.,Municipal Sanitation Department
Overcrowding at government hospital.,Health and Family Welfare Department
Overflowing garbage bins in our area.,Solid Waste Management Department
Overflowing garbage causing mosquito breeding.,Municipal Sanitation Department
Overflowing water tank causing wastage of water,Water Supply Department
Physical fight reported between two groups.,Police Department
Pipe leakage causing waterlogging on the street.,Water Supply Department
Pipeline burst near the apartment gate.,Water Supply Department
Poor cleanliness near public toilet area.,Municipal Sanitation Department
Poor condition of hospital wards.,Health and Family Welfare Department
Poor lighting at road junction.,Street Lighting Department
Poor lighting creating safety concerns for women.,Street Lighting Department
Poor maintenance of hospital building.,Health and Family Welfare Department
Poor management of patient records.,Health and Family Welfare Department
Poor quality road construction observed,Public Works Department
Poor sanitation causing foul smell in locality.,Municipal Sanitation Department
Poor sanitation in hospital premises.,Health and Family Welfare Department
Poor street lighting making the area unsafe.,Street Lighting Department
Potholes filled poorly and reopened after rain.,Public Works Department
Power cut affecting shops and businesses.,Electricity Distribution Department
Power cut due to damaged underground cable.,Electricity Distribution Department
Power cut in our area since last night.,Electricity Distribution Department
Power fluctuation causing internet disruption.,Electricity Distribution Department
Power line touching tree branches.,Electricity Distribution Department
Power supply goes off repeatedly in the evening.,Electricity Distribution Department
Power supply issue in entire society.,Electricity Distribution Department
Power supply very unstable in rainy season.,Electricity Distribution Department
Primary health center closed during working hours.,Health and Family Welfare Department
Public area not cleaned after festival.,Municipal Sanitation Department
Public nuisance complaint due to drunk driving.,Police Department
Public water connection is broken near market area.,Water Supply Department
Rash driving causing danger to pedestrians.,Police Department
Repeated nuisance by local troublemakers.,Police Department
Repeated power cuts during night hours.,Electricity Distribution Department
Repeated thief incidents happening in our area.,Police Department
Road collapse reported near the bridge.,Public Works Department
Road construction work is incomplete and left halfway.,Public Works Department
Road divider is damaged and broken.,Public Works Department
Road has sharp edges after repair work.,Public Works Department
Road has sunk near the drainage line.,Public Works Department
Road is not motorable during monsoon.,Public Works Department
Road markings are faded and not visible.,Public Works Department
Road repair material blocking half of the road.,Public Works Department
Road repair required urgently due to accidents,Public Works Department
Road repair work has been pending for many months.,Public Works Department
Road shoulder is broken and unsafe.,Public Works Department
Road surface is damaged and unsafe for two-wheelers.,Public Works Department
Road surface peeling off in many places.,Public Works Department
Road widening work is delayed without explanation,Public Works Department
Road work causing long traffic delays daily.,Public Works Department
Road work debris not cleared properly.,Public Works Department
Roads are dirty and not swept properly.,Municipal Sanitation Department
Roadside garbage causing bad smell.,Municipal Sanitation Department
Roadside pavement is broken and unusable.,Public Works Department
Robbery reported at a local shop.,Police Department
Sanitation complaint pending for many days.,Municipal Sanitation Department
Sanitation problem affecting nearby houses.,Municipal Sanitation Department
Sanitation service is irregular in our locality.,Municipal Sanitation Department
Sanitation staff not responding to complaints.,Municipal Sanitation Department
Sanitation work incomplete and irregular.,Municipal Sanitation Department
Sanitation workers have not visited our street for many days.,Municipal Sanitation Department
Sanitation workers skipping our street.,Municipal Sanitation Department
Several street lights are switched off in our area.,Street Lighting Department
Sewer blockage affecting multiple houses.,Drainage and Sewerage Department
Sewer blockage after recent construction work.,Drainage and Sewerage Department
Sewer cover is broken and dangerous.,Drainage and Sewerage Department
Sewer line is blocked near my house.,Drainage and Sewerage Department
Sewer line leakage reported in our street.,Drainage and Sewerage Department
Sewer line maintenance pending for months.,Drainage and Sewerage Department
Sewer manhole cover missing.,Drainage and Sewerage Department
Sewer overflow causing foul smell in the area.,Drainage and Sewerage Department
Sewer overflow creating traffic issues.,Drainage and Sewerage Department
Sewer overflow posing health risk.,Drainage and Sewerage Department
Sewer pipeline damaged near the road.,Drainage and Sewerage Department
Sewer smell spreading in the locality.,Drainage and Sewerage Department
Sewer water flooding the street.,Drainage and Sewerage Department
Sewer water leaking from underground pipe.,Drainage and Sewerage Department
Sewer water mixing with drinking water line.,Drainage and Sewerage Department
Sewer water overflowing during light rain.,Drainage and Sewerage Department
Sewer water pooling near residential area.,Drainage and Sewerage Department
Short circuit caused fire in a shop.,Fire and Emergency Services
Shortage of essential medicines in hospital.,Health and Family Welfare Department
Shortage of medical staff in health center.,Health and Family Welfare Department
Side road is completely damaged and neglected.,Public Works Department
Smoke coming from an electric meter box.,Fire and Emergency Services
Smoke coming from lift machine room.,Fire and Emergency Services
Smoke coming from underground parking area.,Fire and Emergency Services
Smoke seen coming from drainage area.,Fire and Emergency Services
Solid waste causing blockage near houses.,Solid Waste Management Department
Solid waste collection delayed regularly.,Solid Waste Management Department
Solid waste lying near drainage.,Solid Waste Management Department
Solid waste lying unattended on the roadside.,Solid Waste Management Department
Solid waste not cleared after festival.,Solid Waste Management Department
Solid waste not lifted from market area.,Solid Waste Management Department
Speed breakers are broken and uneven.,Public Works Department
Street area facing power failure since morning.,Electricity Distribution Department
Street fight causing panic among residents.,Police Department
Street light complaint pending for many days.,Street Lighting Department
Street light cover is broken.,Street Lighting Department
Street light cover missing and bulb exposed.,Street Lighting Department
Street light damaged due to vehicle hit.,Street Lighting Department
Street light flickers continuously at night.,Street Lighting Department
Street light has been damaged after heavy rain.,Street Lighting Department
Street light issue reported earlier but not fixed.,Street Lighting Department
Street light malfunctioning frequently.,Street Lighting Department
Street light near my house is not working.,Street Lighting Department
Street light not functioning near the park.,Street Lighting Department
Street light not repaired after maintenance.,Street Lighting Department
Street light not working in public park area.,Street Lighting Department
Street light not working near government building.,Street Lighting Department
Street light not working near hospital.,Street Lighting Department
Street light pole damaged due to accident.,Street Lighting Department
Street light pole is broken and leaning.,Street Lighting Department
Street light pole rusted and unsafe.,Street Lighting Department
Street light remains off every night.,Street Lighting Department
Street light stays on during daytime.,Street Lighting Department
Street light switched off near bus stop.,Street Lighting Department
Street lighting not available on service road.,Street Lighting Department
Street lighting problem increasing theft risk.,Street Lighting Department
Street lights not repaired after power restoration.,Street Lighting Department
Street lights not turning on automatically.,Street Lighting Department
Street lights not working for the past three days.,Street Lighting Department
Street lights not working near school road.,Street Lighting Department
Sudden power shutdown during peak hours.,Electricity Distribution Department
Sudden water cutoff without prior information.,Water Supply Department
Suspicious activity noticed near my house.,Police Department
Suspicious persons roaming near houses.,Police Department
Suspicious vehicle parked for long time.,Police Department
Sweepers are not cleaning the road properly.,Municipal Sanitation Department
Tap water has yellow color and bad taste.,Water Supply Department
Tap water smells bad and is not safe for drinking.,Water Supply Department
Temporary road repair washed away in rain.,Public Works Department
The road near my house has many potholes.,Public Works Department
Theft of bicycle reported from society.,Police Department
There is a water leakage near my house since morning.,Water Supply Department
Thief reported in our neighborhood last night.,Police Department
Threatening behavior reported by unknown person.,Police Department
Threatening calls received from unknown number.,Police Department
Transformer failure reported in the area.,Electricity Distribution Department
Transformer installed too close to houses.,Electricity Distribution Department
Transformer making loud noise and overheating.,Electricity Distribution Department
Transformer oil leakage observed.,Electricity Distribution Department
Trespassing incident reported in residential area.,Police Department
Unauthorized gathering causing disturbance.,Police Department
Unauthorized people creating disturbance at night.,Police Department
Unclean surroundings creating disease risk.,Municipal Sanitation Department
Underground water pipe leakage reported.,Water Supply Department
Uneven road level near junction.,Public Works Department
Uneven road surface causing frequent accidents,Public Works Department
Vaccination services not functioning properly.,Health and Family Welfare Department
Vandalism of public property reported.,Police Department
Very less water supply during morning hours.,Water Supply Department
Violence reported during local dispute.,Police Department
Voltage fluctuation damaging home appliances.,Electricity Distribution Department
Voltage is too low to run household appliances.,Electricity Distribution Department
Waste bins not cleaned regularly.,Solid Waste Management Department
Waste collection complaint unresolved.,Solid Waste Management Department
Waste collection irregular causing inconvenience.,Solid Waste Management Department
Waste collection skipped multiple times this week.,Solid Waste Management Department
Waste collection stopped without any information.,Solid Waste Management Department
Waste collection timing is very irregular.,Solid Waste Management Department
Waste collection vehicle breakdown affecting service.,Solid Waste Management Department
Waste collection vehicle not coming daily.,Municipal Sanitation Department
Waste collection vehicle not covering entire area.,Solid Waste Management Department
Waste dumping happening in open areas.,Solid Waste Management Department
Waste management service very poor in our area.,Solid Waste Management Department
Waste piled up near society entrance.,Solid Waste Management Department
Waste scattered around bus stop.,Municipal Sanitation Department
Waste scattered due to overflowing bins.,Solid Waste Management Department
Water coming with bad odor and impurities.,Water Supply Department
Water is leaking inside the road creating traffic problems.,Water Supply Department
Water is overflowing from the pipeline junction,Water Supply Department
Water meter is damaged and leaking continuously.,Water Supply Department
Water pipeline repair work not completed properly.,Water Supply Department
Water pressure drops completely in the evening.,Water Supply Department
Water pressure is very low in our society.,Water Supply Department
Water supply comes only for 10 minutes daily,Water Supply Department
Water supply delayed every day in our area.,Water Supply Department
Water supply is mixed with mud after recent repairs.,Water Supply Department
Water supply lines damaged during road work.,Water Supply Department
Water supply problem affecting multiple houses.,Water Supply Department
Water supply stopped suddenly without any notice.,Water Supply Department
Water supply timing is irregular in our locality,Water Supply Department
Water supply valve is damaged and cannot be closed.,Water Supply Department
Water tank cleaning not done for a long time.,Water Supply Department
Wet and dry waste not collected separately.,Solid Waste Management Department
